No.,Name,Order,Total
136,Dev Malhotra,Water Bottle x2,40
137,Diya Joshi,"Bhel Puri x2, Water Bottle x2, Dahi Puri x1",205
138,Harsh Patel,Dahi Puri x1,65
139,Siddharth Jain,"Dahi Puri x2, Water Bottle x1",150
140,Karan Shah,Sev Puri x2,120
141,Vivaan Patel,Water Bottle x1,20
142,Harsh Patel,"Dahi Ragada Patties x1, Water Bottle x1",100
143,Aman Singh,"Coke x2, Bhel Puri x2",180
144,Neha Verma,Ragada Patties x2,140
145,Pooja Desai,"Bhel Puri x1, Coke x2",130
146,Raj Mehta,"Water Bottle x1, Dahi Ragada Patties x1",100
147,Krish Gupta,Coke x1,40
148,Priya Patel,"Sev Puri x2, Water Bottle x2",160
149,Aditya Shah,"Dahi Ragada Patties x2, Ragada Patties x1, Coke x1",270
150,Pooja Desai,"Bhel Puri x1, Sev Puri x2, Ragada Patties x2",310
151,Vedant Rao,Dahi Ragada Patties x1,80
152,Dhruv Joshi,Ragada Patties x2,140
153,Om Patil,"Bhel Puri x2, Water Bottle x1",120
154,Yash Joshi,"Dahi Puri x1, Water Bottle x2, Dahi Ragada Patties x2",265
155,Karan Shah,Bhel Puri x2,100
156,Om Patil,"Coke x2, Sev Puri x1",140
157,Krish Gupta,"Water Bottle x2, Coke x1, Bhel Puri x1",130
158,Sneha Shah,"Water Bottle x1, Ragada Patties x1",90
159,Riya Mehta,Ragada Patties x2,140
160,Aarav Sharma,"Coke x2, Dahi Puri x1",145
161,Yash Joshi,"Dahi Ragada Patties x2, Dahi Puri x2, Bhel Puri x1",340
162,Yash Joshi,"Bhel Puri x2, Dahi Ragada Patties x1, Sev Puri x2",300
163,Vedant Rao,"Coke x2, Dahi Ragada Patties x2",240
164,Ananya Sharma,"Dahi Ragada Patties x2, Dahi Puri x1, Water Bottle x1",245
165,Pooja Desai,"Dahi Puri x1, Dahi Ragada Patties x1, Ragada Patties x2",285
166,Aarav Sharma,"Sev Puri x2, Coke x2, Bhel Puri x1",250
167,Rahul Verma,"Dahi Puri x2, Coke x1, Water Bottle x1",190
168,Rahul Verma,"Bhel Puri x2, Ragada Patties x2, Coke x2",320
169,Sneha Shah,"Water Bottle x2, Ragada Patties x1",110
170,Krish Gupta,"Coke x2, Bhel Puri x2",180
171,Sneha Shah,Sev Puri x1,60
172,Neel Shah,Dahi Puri x1,65
173,Rahul Verma,"Water Bottle x1, Coke x1",60
174,Harsh Patel,"Dahi Ragada Patties x2, Sev Puri x1, Bhel Puri x1",270
175,Rohan Mehta,"Dahi Puri x1, Dahi Ragada Patties x2, Coke x1",265
176,Aditya Shah,"Water Bottle x1, Coke x2",100
177,Ishaan Kapoor,"Coke x2, Dahi Puri x1",145
178,Ananya Sharma,Dahi Puri x2,130
179,Krish Gupta,"Coke x2, Bhel Puri x2, Ragada Patties x2",320
180,Pooja Desai,Ragada Patties x2,140
181,Pooja Desai,"Coke x1, Water Bottle x2, Dahi Ragada Patties x2",240
182,Rahul Verma,"Dahi Puri x2, Bhel Puri x2",230
183,Rahul Verma,Bhel Puri x2,100
184,Vivaan Patel,Water Bottle x1,20
185,Yash Joshi,"Water Bottle x1, Dahi Puri x2",150
186,Neha Verma,Water Bottle x1,20
187,Harsh Patel,"Ragada Patties x1, Sev Puri x2",190
188,Vedant Rao,"Sev Puri x2, Water Bottle x2, Bhel Puri x1",210
189,Manav Desai,Water Bottle x2,40
190,Riya Mehta,"Coke x2, Water Bottle x2, Ragada Patties x2",260
191,Pooja Desai,"Ragada Patties x2, Bhel Puri x2",240
192,Ananya Sharma,"Ragada Patties x2, Bhel Puri x2",240
193,Diya Joshi,"Dahi Puri x2, Water Bottle x2, Dahi Ragada Patties x2",330
194,Siddharth Jain,"Water Bottle x1, Dahi Puri x1",85
195,Raj Mehta,"Dahi Puri x1, Dahi Ragada Patties x1",145
196,Harsh Patel,"Dahi Puri x2, Ragada Patties x2",270
197,Dhruv Joshi,"Bhel Puri x2, Sev Puri x1",160
198,Aman Singh,"Bhel Puri x1, Dahi Ragada Patties x2",210
199,Krish Gupta,Ragada Patties x1,70
200,Aarav Sharma,Bhel Puri x1,50
201,Om Patil,"Sev Puri x2, Ragada Patties x2",260
202,Diya Joshi,"Sev Puri x1, Ragada Patties x1",130
203,Vedant Rao,"Water Bottle x1, Bhel Puri x1",70
204,Pooja Desai,"Ragada Patties x2, Bhel Puri x1",190
205,Om Patil,"Ragada Patties x2, Bhel Puri x1",190
206,Neha Verma,"Dahi Puri x2, Dahi Ragada Patties x1",210
207,Yash Joshi,"Water Bottle x2, Coke x1",80
208,Ishaan Kapoor,Bhel Puri x1,50
209,Ishaan Kapoor,Dahi Ragada Patties x1,80
210,Aman Singh,Dahi Puri x1,65
211,Simran Singh,Bhel Puri x2,100
212,Aditya Shah,"Coke x2, Dahi Puri x1, Water Bottle x1",165
213,Yash Joshi,"Sev Puri x2, Dahi Ragada Patties x2",280
214,Simran Singh,"Dahi Ragada Patties x1, Coke x1",120
215,Simran Singh,"Sev Puri x1, Ragada Patties x2",200
216,Siddharth Jain,"Coke x2, Water Bottle x2, Ragada Patties x1",190
217,Harsh Patel,"Bhel Puri x1, Dahi Ragada Patties x1",130
218,Neel Shah,"Bhel Puri x1, Sev Puri x1",110
219,Aman Singh,Water Bottle x2,40
220,Dev Malhotra,"Sev Puri x2, Ragada Patties x2, Bhel Puri x2",360
221,Manav Desai,Sev Puri x2,120
222,Riya Mehta,"Dahi Ragada Patties x2, Bhel Puri x1, Sev Puri x2",330
223,Aisha Khan,"Dahi Ragada Patties x2, Bhel Puri x1",210
224,Harsh Patel,"Coke x2, Water Bottle x2, Ragada Patties x2",260
225,Karan Shah,"Sev Puri x2, Bhel Puri x2, Coke x1",260
226,Tanvi Patil,Dahi Puri x1,65
227,Siddharth Jain,Water Bottle x1,20
228,Ananya Sharma,"Dahi Ragada Patties x2, Dahi Puri x2",290
229,Harsh Patel,"Bhel Puri x2, Ragada Patties x1",170
230,Dev Malhotra,"Water Bottle x1, Dahi Puri x1, Ragada Patties x1",155
231,Diya Joshi,Ragada Patties x1,70
232,Yash Joshi,"Water Bottle x1, Coke x1, Dahi Puri x1",125
233,Arjun Desai,"Bhel Puri x1, Sev Puri x1, Coke x1",150
234,Diya Joshi,"Coke x2, Sev Puri x1, Bhel Puri x2",240
235,Simran Singh,"Bhel Puri x2, Dahi Puri x2",230
236,Rahul Verma,Coke x2,80
237,Pooja Desai,"Bhel Puri x1, Coke x2, Dahi Puri x2",260
238,Sneha Shah,Bhel Puri x1,50
239,Aditya Shah,Sev Puri x2,120
240,Aarav Sharma,"Dahi Puri x2, Ragada Patties x1, Bhel Puri x1",250
241,Arjun Desai,"Water Bottle x1, Ragada Patties x2",160
242,Neha Verma,Dahi Puri x2,130
243,Riya Mehta,Ragada Patties x2,140
244,Yash Joshi,"Water Bottle x1, Sev Puri x1, Bhel Puri x2",180
245,Riya Mehta,Coke x2,80
246,Krish Gupta,"Dahi Ragada Patties x1, Ragada Patties x2",220
247,Vivaan Patel,"Sev Puri x1, Ragada Patties x1, Dahi Puri x1",195
248,Krish Gupta,Sev Puri x1,60
249,Riya Mehta,"Ragada Patties x2, Water Bottle x2, Bhel Puri x2",280
250,Krish Gupta,"Dahi Ragada Patties x1, Ragada Patties x2, Bhel Puri x1",270
251,Yash Joshi,"Dahi Ragada Patties x2, Bhel Puri x2, Sev Puri x2",380
252,Diya Joshi,"Coke x2, Dahi Puri x1",145
253,Yash Joshi,Water Bottle x1,20
254,Priya Patel,Sev Puri x2,120
255,Dev Malhotra,Dahi Ragada Patties x1,80
256,Sneha Shah,Bhel Puri x1,50
257,Vedant Rao,"Dahi Puri x1, Sev Puri x1",125
258,Siddharth Jain,"Dahi Puri x2, Coke x2, Water Bottle x1",230
259,Vedant Rao,"Dahi Ragada Patties x1, Sev Puri x1, Coke x2",220
260,Dhruv Joshi,"Dahi Puri x1, Ragada Patties x1, Coke x1",175
261,Manav Desai,Dahi Puri x2,130
262,Rahul Verma,Ragada Patties x2,140
263,Neel Shah,"Sev Puri x2, Water Bottle x2",160
264,Riya Mehta,Water Bottle x1,20
265,Neel Shah,Dahi Puri x2,130
266,Pooja Desai,"Dahi Puri x2, Dahi Ragada Patties x2, Coke x2",370
267,Vedant Rao,"Dahi Puri x1, Ragada Patties x1, Dahi Ragada Patties x2",295
268,Aarav Sharma,"Dahi Ragada Patties x2, Coke x1",200
269,Vedant Rao,"Bhel Puri x1, Ragada Patties x1",120
270,Harsh Patel,Coke x1,40
271,Sneha Shah,"Dahi Puri x2, Coke x2",210
272,Aarav Sharma,Dahi Puri x1,65
273,Harsh Patel,"Coke x1, Ragada Patties x1",110
274,Manav Desai,Water Bottle x2,40
275,Aditya Shah,"Bhel Puri x1, Water Bottle x1, Dahi Puri x2",200
276,Dev Malhotra,Coke x1,40
277,Aman Singh,"Coke x2, Dahi Ragada Patties x2, Bhel Puri x2",340
278,Aditya Shah,"Bhel Puri x2, Water Bottle x1, Ragada Patties x1",190
279,Ishaan Kapoor,"Sev Puri x1, Bhel Puri x2",160
280,Harsh Patel,Sev Puri x1,60
281,Simran Singh,"Coke x1, Dahi Puri x2, Ragada Patties x1",240
282,Arjun Desai,"Coke x2, Water Bottle x1, Bhel Puri x2",200
283,Karan Shah,"Bhel Puri x2, Ragada Patties x2, Sev Puri x2",360
284,Arjun Desai,Bhel Puri x1,50
285,Ananya Sharma,"Dahi Puri x1, Sev Puri x2, Coke x2",265
286,Rahul Verma,"Coke x1, Sev Puri x1",100
287,Vivaan Patel,"Bhel Puri x2, Ragada Patties x1",170
288,Aditya Shah,"Ragada Patties x1, Sev Puri x2",190
289,Diya Joshi,Water Bottle x2,40
290,Simran Singh,"Dahi Ragada Patties x2, Sev Puri x2",280
291,Yash Joshi,"Water Bottle x1, Ragada Patties x1",90
292,Dhruv Joshi,"Dahi Ragada Patties x2, Water Bottle x1, Sev Puri x1",240
293,Krish Gupta,Dahi Puri x2,130
294,Dhruv Joshi,"Water Bottle x2, Bhel Puri x1",90
295,Dev Malhotra,Sev Puri x1,60
296,Rohan Mehta,"Coke x2, Ragada Patties x2",220
297,Aman Singh,"Water Bottle x2, Dahi Puri x1",105
298,Tanvi Patil,"Dahi Puri x1, Ragada Patties x1",135
299,Vedant Rao,Bhel Puri x1,50
300,Simran Singh,Coke x2,80
301,krish,Sev Puri x11,660
